PROPERTY TYPE,ADDRESS,CITY,STATE,ZIPCODE,PRICE,BEDS,BATHS,LOCATION,SQFT,LOTSIZE,YEARBUILT,DAYSONMARKET,PPSQFT,HOA,LATITUDE,LONGITUDE
Single Family Residential,8137 29th Ave SW,Seattle,WA,98126,839950,4,2,Westwood,3100,7500,1950,8,271,,47.5289387,-122.3701761
Single Family Residential,3829 41st Ave NE,Seattle,WA,98105,1799000,4,3,Laurelhurst,3230,4500,1939,8,557,,47.6574623,-122.2842783
Single Family Residential,3802 E McGilvra St,Seattle,WA,98112,4200000,4,2.75,Madison Park,3410,29247,1970,9,1232,,47.6417184,-122.2840796
Single Family Residential,3040 S Chicago St,Seattle,WA,98108,599990,4,2,Beacon Hill,1940,5000,1963,9,309,,47.532595,-122.2917293
Single Family Residential,2403 Prescott Ave SW,Seattle,WA,98126,1100000,4,2.5,North Admiral,2900,9100,1941,9,379,,47.5825295,-122.3794195
Single Family Residential,4618 13th Ave S,Seattle,WA,98108,749999,4,2,Beacon Hill,1870,4650,1920,10,401,,47.5611003,-122.3157837
Single Family Residential,4461 26th Ave SW,Seattle,WA,98106,995000,4,1.75,Delridge,2940,5200,1925,12,338,,47.5630827,-122.3660802
Single Family Residential,3440 NW 65th St,Seattle,WA,98117,1899900,4,3.5,Sunset Hill,3182,6382,2014,12,597,,47.6762665,-122.4028243
Single Family Residential,438 39th Ave E,Seattle,WA,98112,10800000,4,3.75,Washington Park,6114,16222,2019,12,1766,,47.6238544,-122.2829469
Single Family Residential,4625 S Hudson St,Seattle,WA,98118,775000,4,3,Seward Park,2530,4104,1958,12,306,,47.5570546,-122.2746066
Single Family Residential,4561 Purdue Ave NE,Seattle,WA,98105,1250000,4,1.75,Hawthorne Hills,2910,7497,1946,13,430,,47.6699804,-122.2774941
Single Family Residential,10138 3rd Ave NW,Seattle,WA,98177,559000,4,2,Greenwood,1800,6077,1940,13,311,,47.7033705,-122.3603945
Single Family Residential,3021 42nd Ave W,Seattle,WA,98199,1649000,4,2.75,Magnolia,3630,5800,1937,13,454,,47.6474795,-122.4110976
Single Family Residential,8523 S 121st St,Seattle,WA,98178,589000,4,2.5,Bryn Mawr,1700,3000,1999,13,346,,47.4940482,-122.2245653
Single Family Residential,3522 Densmore Ave N,Seattle,WA,98103,1746000,4,5,Wallingford,3870,4845,1982,13,451,,47.6499334,-122.3372052
Single Family Residential,1614 E Yesler Way,Seattle,WA,98122,965000,4,2.75,Central Area,2300,2063,2015,14,420,,47.6018371,-122.3107396
Single Family Residential,1420 Broadmoor Dr E,Seattle,WA,98112,2695000,4,2.25,Broadmoor,3657,7023,1950,14,737,165,47.6320913,-122.2879107
Single Family Residential,5019 52nd Ave S,Seattle,WA,98118,1598950,4,3.5,Seward Park,3101,3757,2020,14,516,,47.55646,-122.268511
Single Family Residential,10822 Rainier Ave S,Seattle,WA,98178,1690000,4,3.25,Upper Rainier Beach,2900,8113,1977,14,583,,47.5065207,-122.2312001
Single Family Residential,7531 19th Ave NE,Seattle,WA,98115,1450000,4,3,Roosevelt,2570,3515,1928,15,564,,47.6840096,-122.3080745
Single Family Residential,621 33rd Ave E,Seattle,WA,98112,2395000,4,3.25,Washington Park,3800,5400,2004,15,630,,47.6256678,-122.2898382
Single Family Residential,6852 54th Ave NE,Seattle,WA,98115,2540000,4,4,View Ridge,4224,6820,2018,18,601,,47.6790902,-122.2700064
Single Family Residential,2904 W Tilden St,Seattle,WA,98199,1147000,4,1.75,Magnolia,2530,6000,1949,18,453,,47.6533748,-122.3946153
Single Family Residential,3618 Interlake Ave N,Seattle,WA,98103,899950,4,1.75,Wallingford,1504,2228,1904,19,598,,47.6511584,-122.3410734
Single Family Residential,421 30th Ave S,Seattle,WA,98144,1895000,4,3.75,Leschi,4870,10350,1887,19,389,,47.59851292,-122.2940325
Single Family Residential,1358 32nd Ave S,Seattle,WA,98144,2500000,4,4.25,Leschi,4343,3200,2017,19,576,,47.5908716,-122.2911091
Single Family Residential,4964 15th Ave S,Seattle,WA,98108,749950,4,2,Beacon Hill,1904,5162,1940,19,394,,47.557427,-122.3131911
Single Family Residential,4504 S Holly St,Seattle,WA,98118,599950,4,2,Rainier Valley,1540,5842,1927,20,390,,47.5426397,-122.2762059
Single Family Residential,4826 26th Ave SW,Seattle,WA,98106,799000,4,2.5,Delridge,2400,7200,1966,20,333,,47.5584711,-122.3652427
Single Family Residential,4036 5th Ave NE,Seattle,WA,98105,797000,4,2.25,Wallingford,2491,4000,1926,20,320,,47.6566922,-122.323234
Single Family Residential,5026 Puget Blvd SW,Seattle,WA,98106,1199950,4,3.25,Puget Ridge,3120,5000,2016,21,385,,47.5567245,-122.3610194
Single Family Residential,4201 SW Donald St,Seattle,WA,98116,2425000,4,3.25,North Admiral,3167,5027,2017,21,766,,47.5920339,-122.3856292
Single Family Residential,342 NW 51st St,Seattle,WA,98107,899988,4,1,Ballard,1200,5000,1944,22,750,,47.6659081,-122.3626531
Single Family Residential,4044 33rd Ave W,Seattle,WA,98199,1950000,4,3,Magnolia,3627,6000,2011,24,538,,47.6572899,-122.3991752
Single Family Residential,3213 21st Ave S,Seattle,WA,98144,849990,4,2,Beacon Hill,1660,3244,1949,25,512,,47.5745949,-122.3055273
Single Family Residential,11548 28th Ave NE,Seattle,WA,98125,1447000,4,3.5,Lake City,3706,6331,2020,26,390,,47.7133831,-122.2973212
Single Family Residential,8038 Mary Ave NW,Seattle,WA,98117,1500000,4,3.5,Whittier,2950,5080,2013,26,508,,47.6880358,-122.3751459
Single Family Residential,6924 40th Ave SW,Seattle,WA,98136,1695000,4,2.5,Gatewood,4400,13278,1950,27,385,,47.5405528,-122.3828219
Single Family Residential,8830 40th Ave SW,Seattle,WA,98136,789000,4,1.75,Fauntleroy,2240,5580,1954,27,352,,47.5235739,-122.3828318
Single Family Residential,423 35th Ave S,Seattle,WA,98144,1850000,4,4.25,Leschi,4170,4800,2012,28,444,,47.5984004,-122.2882032
Single Family Residential,6030 31st Ave S,Seattle,WA,98108,699000,4,2,Beacon Hill,2020,4794,1954,28,346,,47.5470511,-122.2923413
Single Family Residential,13931 Par Pl NE,Seattle,WA,98125,1270000,4,4.25,Seattle,4700,13950,1949,28,270,,47.7303215,-122.3266811
Single Family Residential,946 19th Ave E,Seattle,WA,98112,1187500,4,1.5,Capitol Hill,1930,4320,1906,29,615,,47.6282083,-122.3069323
Single Family Residential,913 27th Ave,Seattle,WA,98122,975000,4,2.75,Central Area,1900,4814,1908,29,513,,47.6105281,-122.2978186
Single Family Residential,13214 42nd Ave NE,Seattle,WA,98125,1680999,4,4.5,Cedar Park,3948,9603,2014,30,426,50,47.7250971,-122.2820591
Single Family Residential,213 96th Ln SW,Seattle,WA,98106,757900,4,2.5,White Center,2528,3480,2020,30,300,75,47.515854,-122.338766
Single Family Residential,3931 SW Arroyo Dr,Seattle,WA,98146,1700000,4,3.25,West Seattle,3317,21960,1951,31,513,,47.5026708,-122.3832411
Single Family Residential,1716 36th Ave,Seattle,WA,98122,3495000,4,5.5,Madrona,5060,7482,1910,31,691,,47.6170617,-122.2866977
Single Family Residential,9445 14th Ave SW,Seattle,WA,98106,585000,4,1.75,Highland Park,1630,6771,1930,33,359,,47.5178775,-122.3530715
Single Family Residential,3952 SW Ida St,Seattle,WA,98136,799950,4,2,Gatewood,3150,5355,1912,33,254,,47.5345663,-122.3842406
Single Family Residential,13055 Corliss Ave N,Seattle,WA,98133,699950,4,1.75,Haller Lake,1830,6952,1928,33,382,,47.7248723,-122.3319163
Single Family Residential,2316 Boyer Ave E,Seattle,WA,98112,1795000,4,3,Montlake,3530,3120,1928,34,508,,47.6401244,-122.3114013
Single Family Residential,3401 Magnolia Blvd W,Seattle,WA,98199,2245000,4,3.5,Magnolia,3669,8658,2020,34,612,,47.6507083,-122.4145684
Single Family Residential,11109 5th Ave SW,Seattle,WA,98146,675000,4,2.5,White Center,2680,4280,2016,35,252,80,47.5040799,-122.3413756
Single Family Residential,3046 SW Manning St,Seattle,WA,98126,1148000,4,3.5,Belvidere,3340,4120,2008,35,344,,47.5714638,-122.3726039
Single Family Residential,6815 35th Ave NW,Seattle,WA,98117,1625000,4,3.5,Sunset Hill,3290,4200,1992,36,494,,47.6787332,-122.4027033
Single Family Residential,8325 Martin Luther King Jr Way S,Seattle,WA,98118,695000,4,2,Beacon Hill,1350,7570,1976,36,515,,47.5284305,-122.2806816
Single Family Residential,5905 S Roxbury St,Seattle,WA,98118,500000,4,1.5,Seattle,1730,5928,1940,37,289,,47.516536,-122.258906
Single Family Residential,9725 Phinney Ave N,Seattle,WA,98103,850000,4,1.75,Greenwood,2200,5934,1938,39,386,,47.7004443,-122.3542911
Single Family Residential,2436 NW 64th St Unit C,Seattle,WA,98107,1025950,4,2.25,Ballard,2108,1000,2020,40,487,,47.6755179,-122.3893059
Single Family Residential,2831 22nd Ave W,Seattle,WA,98199,750000,4,2,Magnolia,2390,6000,1910,40,314,,47.645761,-122.3849304
Single Family Residential,12703 37th Ave NE,Seattle,WA,98125,999500,4,2.5,Cedar Park,2624,7772,2014,41,381,,47.7213788,-122.2891827
Single Family Residential,6046 53rd Ave NE,Seattle,WA,98115,1250000,4,1.75,Hawthorne Hills,2660,6000,1950,43,470,,47.6736766,-122.2700896
Single Family Residential,1717 Ferry Ave SW,Seattle,WA,98116,1395000,4,2.5,North Admiral,3290,5714,1991,47,424,,47.5877753,-122.3842396
Single Family Residential,3039 39th Ave SW,Seattle,WA,98116,874999,4,1.75,Belvidere,2200,3225,1924,47,398,,47.5757674,-122.3816491
Single Family Residential,4603 3rd Ave NW,Seattle,WA,98107,897444,4,1.75,Fremont,1860,3270,1948,48,482,,47.6623635,-122.3609762
Single Family Residential,4141 Fauntleroy Way SW,Seattle,WA,98126,735950,4,2,West Seattle,1800,4000,1941,54,409,,47.5657691,-122.3755773
Single Family Residential,14044 28th Ave NE,Seattle,WA,98125,700000,4,1.75,Olympic Hills,1620,8010,1969,54,432,,47.7314982,-122.2976605
Single Family Residential,6302 Swift Ave S,Seattle,WA,98108,725000,4,3.5,Beacon Hill,2100,7120,2003,54,345,,47.5469366,-122.3074368
Single Family Residential,3460 SW 111th St,Seattle,WA,98146,999950,4,2.5,Arbor Heights,2530,6890,1958,54,395,,47.5039764,-122.3757249
Single Family Residential,10416 42nd Ave NE,Seattle,WA,98125,869787,4,2.5,Meadowbrook,2300,7914,1961,56,378,,47.7042915,-122.2824279
Single Family Residential,1122 26th Ave,Seattle,WA,98122,1154000,4,2,Central Area,2790,3390,1919,57,414,,47.6122539,-122.2985442
Single Family Residential,3430 12th Ave W,Seattle,WA,98119,1495000,4,2.5,Queen Anne,2650,6000,1997,58,564,,47.6513673,-122.3719236
Single Family Residential,2219 SW 103rd Pl,Seattle,WA,98146,749900,4,2.25,North Shorewood,2310,4000,2014,59,325,,47.5107673,-122.3621236
Single Family Residential,7740 Corliss Ave N,Seattle,WA,98103,925000,4,2,Green Lake,2360,5000,1948,60,392,,47.6863117,-122.3301578
Single Family Residential,10673 Rainier Ave S,Seattle,WA,98178,499950,4,4,Bryn Mawr,2294,9933,1948,60,218,,47.506655,-122.2324037
Single Family Residential,5516 33rd Ave S,Seattle,WA,98118,549950,4,2,Beacon Hill,1650,5000,1925,60,333,,47.5519533,-122.2901099
Single Family Residential,4526 Beach Dr SW,Seattle,WA,98116,1362000,4,2.5,Beach Drive,2680,6754,1921,60,508,,47.5624719,-122.4052628
Single Family Residential,2911 W Howe St,Seattle,WA,98199,2295000,4,3,Magnolia,3962,5000,2020,61,579,,47.6357766,-122.3948677
Single Family Residential,10336 Interlake Ave N,Seattle,WA,98133,849000,4,1.75,Northgate,2028,4980,1944,62,419,,47.7043715,-122.3403337
Single Family Residential,1649 Shenandoah Dr E,Seattle,WA,98112,3400000,4,4,Broadmoor,4728,8700,1928,62,719,,47.6350364,-122.2895731
Single Family Residential,7954 Seward Park Ave S,Seattle,WA,98118,674500,4,2,Seattle,2379,4399,1925,63,284,,47.5300191,-122.2659897
Single Family Residential,5802 4th Ave NW,Seattle,WA,98107,988000,4,2.5,Ballard,2060,4000,1926,63,480,,47.6710412,-122.3615651
Single Family Residential,947 N 90th St Unit 1 & 2,Seattle,WA,98103,820000,4,2.75,Green Lake,3670,5100,1932,66,223,,47.694021,-122.3451589
Single Family Residential,3209 SW Holly St Unit 33II,Seattle,WA,98126,759950,4,3,High Point,2074,1860,2020,66,366,122,47.542369,-122.374027
Single Family Residential,9131 8th Ave S,Seattle,WA,98108,659950,4,2.5,South Park,2368,5000,2020,67,279,,47.5213764,-122.3234146
Single Family Residential,3204 SW Holly St St Unit 25CC,Seattle,WA,98126,769950,4,3,High Point,2074,1860,2019,68,371,122,47.5429536,-122.3741515
Single Family Residential,5750 S Ryan St,Seattle,WA,98178,875000,4,3.5,Upper Rainier Beach,3426,5264,2012,68,255,,47.5099069,-122.2598504
Single Family Residential,6104 47th Ave S,Seattle,WA,98118,599000,4,1.75,Hillman City,1700,5873,1985,69,352,,47.5475269,-122.2734744
Single Family Residential,11234 Cornell Ave S,Seattle,WA,98178,525000,4,2,Lakeridge,1430,6380,1944,69,367,,47.5016498,-122.2410331
Single Family Residential,7730 18th Ave SW,Seattle,WA,98106,572000,4,2,Highland Park,1680,5148,1922,69,340,,47.532785,-122.3574617
Single Family Residential,11407 69th Pl S,Seattle,WA,98178,659000,4,3.25,Lakeridge,3260,11200,1962,69,202,,47.5021107,-122.247209
Single Family Residential,2325 W Viewmont Way W,Seattle,WA,98199,1549000,4,2.5,Magnolia,3000,5350,1952,70,516,,47.638855,-122.408142
Single Family Residential,1609 1611 SW Barton St,Seattle,WA,98106,689000,4,2,West Seattle,1510,4071,1955,70,456,,47.5208045,-122.3556887
Single Family Residential,3205 SW Holly St Unit 33KK,Seattle,WA,98126,729950,4,3,High Point,2074,1860,2019,71,352,122,47.542524,-122.374032
Single Family Residential,3317 W Elmore St,Seattle,WA,98199,1750000,4,3.25,Magnolia,3628,4800,2020,72,482,,47.6574402,-122.400332
Single Family Residential,906 SW Kenyon St,Seattle,WA,98106,414000,4,1,Highland Park,1200,3095,1922,72,345,,47.5321279,-122.3472465
Single Family Residential,2102 18th Ave S,Seattle,WA,98144,640000,4,2,Beacon Hill,2200,6000,1963,75,291,,47.5843695,-122.309127
Single Family Residential,1206 E Newton St,Seattle,WA,98102,2200000,4,3,Capitol Hill,4660,4000,1915,75,472,,47.637459,-122.3169341
Single Family Residential,334 W Kinnear Pl,Seattle,WA,98119,2395000,4,3.25,Queen Anne,3210,6674,1925,75,746,,47.6279917,-122.3622176
Single Family Residential,4412 SW 101st St,Seattle,WA,98146,739000,4,2.5,Arbor Heights,2390,6032,1930,75,309,,47.5131777,-122.3892173
Single Family Residential,5221 Lake Washington Blvd S,Seattle,WA,98118,2300000,4,2.25,Hillman City,2710,20197,1921,77,849,,47.5541535,-122.2613371
Single Family Residential,9690 Lindsay Pl S,Seattle,WA,98118,749990,4,3.25,Upper Rainier Beach,2285,3428,2020,82,328,69,47.5168217,-122.2646398
Single Family Residential,2819 S Alaska Pl,Seattle,WA,98108,699999,4,1,Columbia City,1660,6120,1908,84,422,,47.5606808,-122.2959323
Single Family Residential,1417 NW 60th St,Seattle,WA,98107,750000,4,1,Ballard,2580,3076,1900,84,291,,47.6721845,-122.3744525
Single Family Residential,2344 Harvard Ave E,Seattle,WA,98102,1890000,4,2.5,Capitol Hill,3790,7000,1984,91,499,,47.6401988,-122.3220107
Single Family Residential,2102 8th Ave N,Seattle,WA,98109,2285000,4,4.5,Queen Anne,3340,2671,2002,95,684,,47.6381985,-122.3418123
Single Family Residential,5240 Brooklyn Ave NE Unit B,Seattle,WA,98105,856000,4,2.5,University District,1500,8240,2020,96,571,,47.6676414,-122.3139229
Single Family Residential,5240 Brooklyn Ave NE Unit A,Seattle,WA,98105,866000,4,2.5,University District,1500,8240,2020,96,577,,47.6676414,-122.3139229
Single Family Residential,5124 S Creston (lot G) St,Seattle,WA,98178,759000,4,2.5,Seattle,2383,7222,2019,97,319,,47.507444,-122.2690051
Single Family Residential,6015 53rd Ave NE,Seattle,WA,98115,1765000,4,3.25,Hawthorne Hills,3492,5003,2019,97,505,,47.6727256,-122.2707813
Single Family Residential,3220 Sierra Dr S,Seattle,WA,98144,1895000,4,3.25,Mt Baker,3900,5791,1929,98,486,,47.5745719,-122.2827717
Single Family Residential,1215 W Ruffner St,Seattle,WA,98119,1999950,4,3.25,Queen Anne,3750,6000,2014,100,533,,47.6519839,-122.3732288
Single Family Residential,5315 Martin Luther King Jr Way S,Seattle,WA,98118,650000,4,2,Seattle,1248,3515,1919,100,521,,47.5537437,-122.2897183
Single Family Residential,11345 20th Ave NE,Seattle,WA,98125,1425000,4,2.75,Victory Heights,3030,7494,2020,102,470,,47.7114347,-122.3066927
Single Family Residential,1128 Lakeview Blvd E,Seattle,WA,98102,975000,4,1.75,Capitol Hill,1310,4500,1908,111,744,,47.629941,-122.324863
Single Family Residential,123 Highland Dr,Seattle,WA,98109,4875000,4,3.25,Queen Anne,4873,7200,1954,111,1000,,47.6295905,-122.3543095
Single Family Residential,11317 40th Ave NE,Seattle,WA,98125,1950000,4,3.25,Meadowbrook,4054,7455,2020,113,481,,47.710716,-122.2855546
Single Family Residential,801 E Gwinn Pl,Seattle,WA,98102,1738500,4,4.25,Roanoke Park,4250,5006,2013,120,409,,47.6476466,-122.3217563
Single Family Residential,6030 35th Ave NE,Seattle,WA,98115,999950,4,2,Bryant,2190,4000,1924,132,457,,47.6730715,-122.2898698
Single Family Residential,4002 NE 75th St,Seattle,WA,98115,650000,4,2,Seattle,1610,6000,1955,134,404,,47.6832142,-122.2848595
Single Family Residential,1701 E John St,Seattle,WA,98112,1399950,4,2,Capitol Hill,2790,3700,1908,134,502,,47.6194879,-122.3098624
Single Family Residential,9689 3rd Pl SW,Seattle,WA,98106,752808,4,2.5,White Center,2682,3560,2020,152,281,94,47.515984,-122.339823
Single Family Residential,214 SW 96th Ln,Seattle,WA,98106,755860,4,2.5,White Center,2528,3480,2020,156,299,94,47.515987,-122.339051
Single Family Residential,2822 4th Ave W,Seattle,WA,98119,1200000,4,2.5,Queen Anne,2400,4762,1986,160,500,,47.6456832,-122.3619355
Single Family Residential,1135 Parkside Dr E,Seattle,WA,98112,2395000,4,2.75,Broadmoor,2150,10838,1936,183,1114,,47.629551,-122.2913578
Single Family Residential,1410 Alki Ave SW,Seattle,WA,98116,1149000,4,2,Alki,1880,3720,1984,188,611,,47.590437,-122.3926016
Single Family Residential,12055 69th Ave S,Seattle,WA,98178,425000,4,2.5,Seattle,1875,6160,1944,201,227,,47.4931976,-122.2480631
Single Family Residential,2503 Montavista Pl W,Seattle,WA,98199,2995000,4,4.5,Magnolia,5020,4950,2009,205,597,,47.6413904,-122.4049394
Single Family Residential,320 NW 137th St,Seattle,WA,98177,2995000,4,5,Broadview,5910,62726,2006,208,507,,47.729359,-122.3617878
Single Family Residential,14028 Lenora Pl N,Seattle,WA,98133,565000,4,2.25,Haller Lake,2230,2550,1982,210,253,,47.7313459,-122.3430669
Single Family Residential,2514 Belvidere Ave SW,Seattle,WA,98126,1850000,4,3.5,North Admiral,3253,4180,2020,222,569,,47.5813827,-122.3788492
Single Family Residential,9302 Beacon Ave S,Seattle,WA,98118,527000,4,2.75,Rainier Beach,1630,7400,1980,222,323,,47.5188669,-122.2763071
Single Family Residential,7464 S 112th St,Seattle,WA,98178,589700,4,2.5,Lakeridge,2280,6490,1955,226,259,,47.5030305,-122.2383707
Single Family Residential,525 Lake Washington Blvd,Seattle,WA,98122,810000,4,1.75,Leschi,2480,5644,1941,237,327,,47.6066819,-122.2838797
Single Family Residential,5155 S Director St,Seattle,WA,98118,497000,4,1.75,Rainier Beach,980,8400,1906,238,507,,47.5217635,-122.2676421
Single Family Residential,7235 W Green Lake Dr N,Seattle,WA,98103,1599000,4,2.5,Green Lake,3320,6800,1927,268,482,,47.682048,-122.3428667
Single Family Residential,3218 SW Hinds St,Seattle,WA,98126,1850000,4,3,Admiral,2800,5000,2020,343,661,,47.5728409,-122.3740131
Single Family Residential,4519 S Henderson St,Seattle,WA,98118,1499950,4,2.5,Rainier Beach,2460,14555,1917,356,610,,47.5230961,-122.2755925
Single Family Residential,1214 Warren Ave N,Seattle,WA,98109,11000000,4,7.25,Queen Anne,9970,8600,1902,370,1103,,47.6302212,-122.3538488
Single Family Residential,11122 Seola Beach Dr SW,Seattle,WA,98146,749000,4,2.5,Seattle,2266,8006,1987,34,331,,47.5030586,-122.3707822
Single Family Residential,Tiberon,Seattle,WA,98126,729950,4,3,High Point,2074,,,,352,,47.5428573,-122.3737971
Single Family Residential,Walleye,Seattle,WA,98126,699950,4,3,High Point,1897,,,,369,,47.5428573,-122.3737971
Single Family Residential,10397 Beacon Ave S,Seattle,WA,98178,599995,5,2.75,Allentown,3200,7998,1921,1,187,,47.5071793,-122.2709496
Single Family Residential,4225 Williams Ave W,Seattle,WA,98199,1250000,5,2.75,Magnolia,2740,4400,1912,13,456,,47.6584172,-122.3924947
Single Family Residential,10011 42nd Ave SW,Seattle,WA,98146,849500,5,4,Arbor Heights,2780,5267,1942,19,306,,47.513424,-122.3862727
Single Family Residential,910 W Howe St,Seattle,WA,98119,1069000,5,1.75,Queen Anne,2440,2400,1918,21,438,,47.6361164,-122.3695835
Single Family Residential,336 29th Ave,Seattle,WA,98122,1699950,6,4.25,Leschi,3229,4950,1904,180,526,,47.6052824,-122.2946387
Single Family Residential,3508 NE 135th St,Seattle,WA,98125,840000,5,3,Cedar Park,2490,8189,1985,1,337,,47.7266597,-122.2903973
Single Family Residential,1114 21st Ave E,Seattle,WA,98112,3600000,5,5,Capitol Hill,5820,8640,1912,1,619,,47.6291319,-122.3044027
Single Family Residential,7226 S Ryan St,Seattle,WA,98178,1349950,5,2.75,Rainier Beach,2700,6000,2018,1,500,,47.509846,-122.2424977
Single Family Residential,219 Erie Ave,Seattle,WA,98122,1230000,5,2.75,Leschi,3220,5454,1946,1,382,,47.6033955,-122.2860908
Single Family Residential,8825 17th Ave NE,Seattle,WA,98115,1000000,5,2.75,Maple Leaf,2550,5376,1928,1,392,,47.6928863,-122.3096904
Single Family Residential,2019 E Louisa St,Seattle,WA,98112,1475000,5,1.75,Montlake,3450,4500,1925,1,428,,47.6422561,-122.3045967
Single Family Residential,6540 1st Ave NE,Seattle,WA,98115,2198000,6,5.75,Green Lake,3970,5100,2015,5,554,,47.6771034,-122.3280943
Single Family Residential,6542 Jones Ave NW,Seattle,WA,98117,1729000,5,4.5,Ballard,3115,5000,2020,5,555,,47.677137,-122.386103
Single Family Residential,819 W Lee St,Seattle,WA,98119,3250000,5,3.5,Queen Anne,4510,7200,1925,5,721,,47.6309486,-122.3687238
Single Family Residential,9661 42nd Ave SW,Seattle,WA,98136,975000,5,3,Arbor Heights,3250,8189,1953,5,300,,47.5157955,-122.3864789
Single Family Residential,236 40th Ave E,Seattle,WA,98112,7825000,5,3,Denny Blaine,4170,25552,1923,5,1876,,47.6213508,-122.2811006
Single Family Residential,816 NW Market St,Seattle,WA,98107,899950,6,2,Ballard,2800,4100,1926,5,321,,47.6688939,-122.3670486
Single Family Residential,3506 E Schubert Pl,Seattle,WA,98122,1699000,5,3.5,Madrona,3750,6700,1922,5,453,,47.6172734,-122.2879296
Single Family Residential,3427 36th Ave W,Seattle,WA,98199,1599000,5,3.25,Magnolia,2960,5102,1952,5,540,,47.6513077,-122.4038715
Single Family Residential,3803 Meridian Ave N,Seattle,WA,98103,2100000,6,3.25,Wallingford,3206,4800,1909,7,655,,47.653283,-122.3341903
Single Family Residential,4005 NE 57th St,Seattle,WA,98105,1777000,5,3.5,Hawthorne Hills,3590,3520,2015,7,495,,47.6701504,-122.2844499
Single Family Residential,5218 8th Ave NW,Seattle,WA,98107,1400000,5,3.5,Ballard,3310,4300,1927,7,423,,47.6670351,-122.3658807
Single Family Residential,10209 10th Ave S,Seattle,WA,98168,585000,5,1.75,Boulevard Park,2140,7700,1961,8,273,,47.5117087,-122.3204339
Single Family Residential,3822 42nd Ave SW,Seattle,WA,98116,938000,5,1.75,Belvidere,2585,3600,1924,11,363,,47.5694278,-122.3851293
Single Family Residential,7115 44th Ave S,Seattle,WA,98118,775000,5,2.75,Brighton,1760,6600,1971,11,440,,47.5384349,-122.2783593
Single Family Residential,9501 Sand Point Way NE,Seattle,WA,98115,925000,5,1.75,Matthews Beach,2260,6199,1957,12,409,,47.6977099,-122.2780124
Single Family Residential,3245 SW WestBridge Pl Lot 9,Seattle,WA,98126,1325000,5,4,Belvidere,3022,3082,2020,12,438,268,47.5715329,-122.3739112
Single Family Residential,6719 18th Ave SW,Seattle,WA,98106,745000,5,2.75,West Seattle,2150,14613,1993,12,347,,47.5422791,-122.3574623
Single Family Residential,5000 SW Stevens St,Seattle,WA,98116,898000,5,3.5,Admiral,2700,4335,1959,13,333,,47.5777528,-122.3956531
Single Family Residential,10719 47th Ave S,Tukwila,WA,98178,724900,5,3,Tukwila,2840,7199,2003,14,255,,47.5064948,-122.2751644
Single Family Residential,2318 Belvidere Ave SW,Seattle,WA,98126,4025000,5,3.5,Belvidere,6090,5712,2020,14,661,,47.582848,-122.37916
Single Family Residential,920 Federal Ave E,Seattle,WA,98102,2698000,5,3.5,Capitol Hill,4440,6300,1914,14,608,,47.6275084,-122.318791
Single Family Residential,8246 17th Ave NE,Seattle,WA,98115,1700000,5,3.75,Maple Leaf,3401,5100,2019,15,500,,47.6898617,-122.3098057
Single Family Residential,2905 25th Ave W,Seattle,WA,98199,1625000,5,2.5,Magnolia,3380,6400,1960,15,481,,47.6460816,-122.3892017
Single Family Residential,418 W Lee St,Seattle,WA,98119,2895000,5,3.5,Queen Anne,5050,4452,1951,16,573,,47.6314968,-122.3627747
Single Family Residential,300 NW 56th St,Seattle,WA,98107,1049900,5,2,Seattle,1860,3300,1950,18,564,,47.6695905,-122.3610349
Single Family Residential,6405 22nd Ave NW,Seattle,WA,98107,975000,5,2,Ballard,3030,4650,1900,19,322,,47.6754986,-122.3849736
Single Family Residential,3517 S Brandon St,Seattle,WA,98118,849850,5,2.75,Hillman City,2410,3919,1995,19,353,,47.553225,-122.288195
Single Family Residential,4312 36th Ave NE,Seattle,WA,98105,1998000,5,5.5,Laurelhurst,4800,5000,2016,19,416,,47.660264,-122.289044
Single Family Residential,2843 NW 69 St,Seattle,WA,98117,1200000,6,3.5,Ballard,3283,5000,1915,20,366,,47.6785626,-122.394826
Single Family Residential,845 NW 116th St,Seattle,WA,98177,1178000,5,2.75,Broadview,3490,14852,1956,20,338,,47.7126138,-122.3682212
Single Family Residential,2811 22nd Ave W,Seattle,WA,98199,1695000,6,5,Magnolia,4270,6000,1973,20,397,,47.645184,-122.385029
Single Family Residential,3424 E Denny Way,Seattle,WA,98122,1800000,6,3.5,Denny Blaine,3311,4000,1920,20,544,,47.6185492,-122.2875479
Single Family Residential,10118 Renton Ave S,Seattle,WA,98178,1125000,5,3,Upper Rainier Beach,2497,6440,1974,21,451,,47.5099962,-122.2584809
Single Family Residential,6256 31st Ave NE,Seattle,WA,98115,1178000,6,3.25,Bryant,3320,5000,1921,21,355,,47.67564,-122.2939983
Single Family Residential,1409 E Prospect St,Seattle,WA,98112,6300000,6,6,Capitol Hill,9800,22690,1909,21,643,,47.6281618,-122.3141335
Single Family Residential,9654 2nd Ave SW,Seattle,WA,98106,819900,5,2.5,White Center,2726,3744,2020,22,301,75,47.5170732,-122.3378933
Single Family Residential,8422 5th Ave SW,Seattle,WA,98106,700000,5,2.5,West Seattle,2250,7042,2005,23,311,,47.5276108,-122.3413362
Single Family Residential,1500 Lakeside Ave S,Seattle,WA,98144,5850000,5,4,Mt Baker,6242,43352,1924,25,937,,47.5886208,-122.285719
