PROPERTY TYPE,ADDRESS,CITY,STATE,ZIPCODE,PRICE,BEDS,BATHS,LOCATION,SQFT,LOTSIZE,YEARBUILT,DAYSONMARKET,PPSQFT,HOA,LATITUDE,LONGITUDE
Single Family Residential,1804 16th Ave S,Seattle,WA,98144,1595000,3,2.5,N Beacon Hill,2486,8408,2019,566,642,,47.586824,-122.3116803
Single Family Residential,8808 Interlake Ave N,Seattle,WA,98103,649950,3,1.75,Green Lake,1360,5125,1949,790,478,,47.6926599,-122.3399416
Single Family Residential,11346 Sunnyside Ave N,Seattle,WA,98133,500000,2,1,Seattle,630,7900,1943,166,794,,47.7118078,-122.3297821
Single Family Residential,3034 45th Ave SW,Seattle,WA,98116,1000000,3,2,Seattle,2000,6250,1909,279,500,,47.5759675,-122.389084
Single Family Residential,3738 38th Ave SW,Seattle,WA,98126,1575000,4,3.25,Belvidere,3417,7500,1913,6,461,,47.570138,-122.3804713
Single Family Residential,6756 13th Ave SW,Seattle,WA,98106,698000,4,1.75,Delridge,1550,7225,1977,68,450,,47.5411945,-122.3512759
Single Family Residential,3003 NW 72nd St,Seattle,WA,98117,1125000,4,4,Sunset Hill,3080,5200,1910,69,365,,47.6807351,-122.3959591
Single Family Residential,415 20th Ave S,Seattle,WA,98144,928000,4,2.75,Central Area,2580,4895,1928,1,360,,47.598677,-122.3066289
Single Family Residential,6317 45th Ave SW,Seattle,WA,98136,775000,4,1.5,Seaview,2320,6000,1970,1,334,,47.5461591,-122.3902585
Single Family Residential,2719 10th Ave W,Seattle,WA,98119,1279000,4,2.25,Queen Anne,2140,2030,1918,1,598,,47.6449044,-122.3703876
Single Family Residential,6632 Flora Ave S,Seattle,WA,98108,715000,4,2.75,Georgetown,2520,4700,1919,1,284,,47.5430669,-122.3200605
Single Family Residential,10117 2nd Ave S,Seattle,WA,98168,599000,4,2.5,White Center,2100,9700,1963,1,285,,47.5125874,-122.331768
Single Family Residential,1533 NE 92nd St,Seattle,WA,98115,640000,4,1.75,Maple Leaf,1860,6670,1947,1,344,,47.6956136,-122.3106989
Single Family Residential,5244 17th Ave NE,Seattle,WA,98105,1250000,4,2.75,Ravenna,2470,4320,1908,1,506,,47.6677201,-122.3091359
Single Family Residential,5516 Woodlawn Ave N,Seattle,WA,98103,1095000,4,4,Green Lake,2893,4200,1919,1,378,,47.6692346,-122.3376947
Single Family Residential,5217 5th Ave NE,Seattle,WA,98105,1100000,4,2,Green Lake,1980,5100,1921,1,556,,47.6670083,-122.3231329
Single Family Residential,510 N 65th St,Seattle,WA,98103,949950,4,3.5,Green Lake,2030,4960,1926,1,468,,47.6762652,-122.3521431
Single Family Residential,310 Lynn St,Seattle,WA,98109,1395000,4,3.25,Queen Anne,2310,4000,1908,1,604,,47.639328,-122.3513989
Single Family Residential,2020 NE 113th St,Seattle,WA,98125,799950,4,2.5,Victory Heights,1630,7500,1938,1,491,,47.7105035,-122.3054872
Single Family Residential,916 B 14th Ave,Seattle,WA,98122,1395000,4,3,Central Area,2647,1760,2020,1,527,,47.6109244,-122.3138103
Single Family Residential,3855 NE 98th St,Seattle,WA,98115,1250000,4,3,Wedgwood,2500,8882,1958,1,500,,47.6999508,-122.2856071
Single Family Residential,2320 Eyres Pl W,Seattle,WA,98199,1195000,4,2.25,Magnolia,3250,5350,1938,1,368,,47.6389639,-122.4052265
Single Family Residential,3281 36th Ave SW,Seattle,WA,98126,825000,4,2,Belvidere,2440,5912,1924,1,338,,47.5732836,-122.377379
Single Family Residential,6510 S Langston Rd,Seattle,WA,98178,480000,4,2.5,Seattle,1710,22433,1963,1,281,,47.4862335,-122.2521586
Single Family Residential,3637 56th Ave SW,Seattle,WA,98116,1398000,4,2.5,Genesee,2960,8165,1956,1,472,,47.571097,-122.4040909
Single Family Residential,2057 24th Ave E,Seattle,WA,98112,979000,4,1,Montlake,2620,4920,1920,1,374,,47.6387333,-122.302205
Single Family Residential,9730 48th Ave NE,Seattle,WA,98115,990000,4,2.75,Matthews Beach,2310,8402,1997,1,429,,47.7002997,-122.2761781
Single Family Residential,4611 NE 110th St,Seattle,WA,98125,1399950,4,3.5,Matthews Beach,3280,9000,2006,2,427,,47.7091392,-122.2781898
Single Family Residential,7323 29th Ave SW,Seattle,WA,98126,659950,4,1.75,Westwood,1620,6500,1945,2,407,,47.536664,-122.3700687
Single Family Residential,14319 36th Ave NE,Seattle,WA,98125,750000,4,2,Cedar Park,2380,8115,1940,2,315,,47.7325511,-122.2899865
Single Family Residential,6006 35th Ave NE,Seattle,WA,98115,925000,4,2.5,Bryant,3060,4000,1939,2,302,,47.6724119,-122.2899221
Single Family Residential,4719 46th Ave S,Seattle,WA,98118,965000,4,2.75,Columbia City,2580,7200,1912,2,374,,47.5599156,-122.2761022
Single Family Residential,4052 SW Donovan St,Seattle,WA,98136,875000,4,2.25,Fauntleroy,2640,6900,1952,2,331,,47.5254286,-122.384675
Single Family Residential,7513 11th Ave SW,Seattle,WA,98106,1075950,4,3,Highland Park,2684,4749,2015,3,401,,47.5350637,-122.3496101
